chromosome	start	annotation	fill_parameters	text_parameters
Bmor_Chr_16	9517125	CYP367A1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_16	12692126	Cyp6ae7	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_16	12752537	Cyp6ae2	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_16	12763047	cyp6a8	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_17	15446526	Cyp9g3	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#f2481b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""bold""}}"
Bmor_Chr_17	16013164	Cyp9a20	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#f27635"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""bold""}}"
Bmor_Chr_17	16032151	Cyp9a19	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#f27635"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""bold""}}"
Bmor_Chr_17	16047429	Cyp9a21	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#f27635"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""bold""}}"
Bmor_Chr_17	16153678	Cyp9a22	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#f27635"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""bold""}}"
Bmor_Chr_18	10415461	Cyp339a1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_19	6231590	CYP340	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#1ba784"", ""fontdict"": {""size"": 10.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_21	546613	Cyp6ab4	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_21	9539508	Cyp6b29	"{""alpha"": 0.5, ""color"": ""#c45a65"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_21	10360951	Cyp6au1	"{""alpha"": 0.5, ""color"": ""#c45a65"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_22	9462922	Cyp302a1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_22	13776781	CYP341B1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_22	16424733	CYP6AN2	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_23	9561067	Cyp6ae22	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_26	7061429	CYP340A3	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#1ba784"", ""fontdict"": {""size"": 10.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_26	11382052	CYP340C1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#1ba784"", ""fontdict"": {""size"": 10.0, ""style"": ""normal"", ""weight"": ""normal""}}"
